Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer,Çözüm Niteliði
2023.06.25,02:54:43,37.9153,36.2898,14.2,-.-,1.4,-.-,HACIKODAL-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.25,02:46:56,38.6148,40.2892,6.1,-.-,2.1,-.-,GONULACAN-GENC,(BINGOL),Ýlksel
2023.06.25,02:26:05,37.3392,37.0747,8.8,-.-,1.6,-.-,EMIROGLU-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.25,02:08:53,37.4302,36.9475,4.6,-.-,1.1,-.-,KUPELIKIZ-(KAHRAMANMARAS),Ýlksel
2023.06.25,01:52:09,36.7727,36.2443,9.6,-.-,1.5,-.-,KOZLUDERE-DORTYOL,(HATAY),Ýlksel
2023.06.25,01:51:59,38.4838,37.0160,4.7,-.-,1.6,-.-,TATLAR-AFSIN,(KAHRAMANMARAS),Ýlksel
2023.06.25,01:44:06,37.9508,36.3095,4.4,-.-,1.9,-.-,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.25,01:36:39,38.4080,38.2323,8.9,-.-,1.9,-.-,KENDIRLI-(MALATYA),Ýlksel
2023.06.25,01:32:01,37.4200,36.8782,2.4,-.-,1.3,-.-,KILILI-TURKOGLU,(KAHRAMANMARAS),Ýlksel
2023.06.25,01:28:38,37.9667,36.3193,11.6,-.-,1.5,-.-,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.25,01:24:10,38.3125,38.6563,9.0,-.-,1.7,-.-,ALHANUSAGI-(MALATYA),Ýlksel
2023.06.25,00:45:58,39.5815,40.5883,5.0,-.-,2.1,-.-,ILISU-TERCAN,(ERZINCAN),Ýlksel
2023.06.25,00:31:12,38.2625,36.4357,17.3,-.-,1.2,-.-,DOGANKONAK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.25,00:20:05,38.7637,39.5610,7.6,-.-,2.3,-.-,UYANDIK-KOVANCILAR,(ELAZIG),Ýlksel
2023.06.24,22:56:42,40.7192,30.4807,13.0,-.-,1.4,-.-,YAZILI-ERENLER,(SAKARYA),Ýlksel
2023.06.24,22:20:28,38.1357,36.9293,1.2,-.-,2.7,-.-,SOGUCAK-AFSIN,(KAHRAMANMARAS),Ýlksel
2023.06.24,22:16:40,36.0548,36.0772,8.8,-.-,2.1,-.-,DAGDUZU-(HATAY),Ýlksel
2023.06.24,21:39:32,41.1223,23.1005,5.0,-.-,2.2,-.-,YUNANISTAN,Ýlksel
2023.06.24,20:37:45,38.4800,37.5837,5.5,-.-,2.1,-.-,BALABAN-DARENDE,(MALATYA),REVIZE01,(2023.06.24,20:37:45)
2023.06.24,20:02:16,38.0038,29.1528,13.1,-.-,1.9,-.-,HAYTABEY-(DENIZLI),Ýlksel
2023.06.24,19:55:33,37.8717,36.2397,5.0,-.-,2.5,-.-,TOPALLAR-SAIMBEYLI,(ADANA),Ýlksel
2023.06.24,19:44:08,38.6028,38.9678,5.0,-.-,2.4,-.-,YENIKONAK-(ELAZIG),Ýlksel
2023.06.24,19:42:29,38.1103,37.7930,10.4,-.-,1.9,-.-,FINDIKKOY-DOGANSEHIR,(MALATYA),Ýlksel
